,unique_identify,-logAffi,target,pdb,compnd,max_tanimoto_schrodinger,max_tanimoto_merck,max_tanimoto_fep_benchmark
0,CHEMBL1075026_1swr_CHEMBL857,14.0,CHEMBL1075026,1swr,CHEMBL857,0.0915492957746478,0.1025641025641025,0.1132075471698113
1,CHEMBL1075027_1hp5_CHEMBL257158,4.698970004336019,CHEMBL1075027,1hp5,CHEMBL257158,0.0526315789473684,0.0775193798449612,0.2066115702479339
2,CHEMBL1075027_1hp5_CHEMBL403756,4.0,CHEMBL1075027,1hp5,CHEMBL403756,0.0526315789473684,0.0775193798449612,0.2066115702479339
3,CHEMBL1075027_1hp5_CHEMBL404356,3.6989700043360174,CHEMBL1075027,1hp5,CHEMBL404356,0.0564516129032258,0.0763358778625954,0.1746031746031746
4,CHEMBL1075027_1jak_CHEMBL253537,4.6777807052660805,CHEMBL1075027,1jak,CHEMBL253537,0.0677966101694915,0.0928571428571428,0.1779661016949152
5,CHEMBL1075040_2o3z_CHEMBL1161944,5.638272163982407,CHEMBL1075040,2o3z,CHEMBL1161944,0.2935779816513761,0.1578947368421052,0.2935779816513761
6,CHEMBL1075040_2o3z_CHEMBL1161946,5.045757490560675,CHEMBL1075040,2o3z,CHEMBL1161946,0.2083333333333333,0.1553398058252427,0.2083333333333333
7,CHEMBL1075040_2o3z_CHEMBL1161947,5.0655015487564325,CHEMBL1075040,2o3z,CHEMBL1161947,0.2016129032258064,0.2096774193548387,0.2096774193548387
8,CHEMBL1075040_2o3z_CHEMBL1161949,5.698970004336019,CHEMBL1075040,2o3z,CHEMBL1161949,0.2857142857142857,0.1633986928104575,0.2857142857142857
9,CHEMBL1075041_4je7_CHEMBL308333,7.568636235841013,CHEMBL1075041,4je7,CHEMBL308333,0.1524390243902439,0.0947368421052631,0.1543209876543209
10,CHEMBL1075045_3h26_CHEMBL567987,3.569763646588489,CHEMBL1075045,3h26,CHEMBL567987,0.1401869158878504,0.1290322580645161,0.1428571428571428
11,CHEMBL1075045_3h2f_CHEMBL577547,5.279014255846261,CHEMBL1075045,3h2f,CHEMBL577547,0.1296296296296296,0.1382113821138211,0.1515151515151515
12,CHEMBL1075045_3h2f_CHEMBL577755,4.06198090252379,CHEMBL1075045,3h2f,CHEMBL577755,0.1261261261261261,0.1308411214953271,0.1415929203539823
