unique_id,tm_score
pdbbind_3zzf,0.24495
pdbbind_3gww,0.31124
pdbbind_1w8l,0.21623
pdbbind_3fqa,0.29918
pdbbind_1zsb,0.25217
pdbbind_6h9v,0.28288
pdbbind_4obv,0.32982
pdbbind_1wkm,0.28437
pdbbind_3k41,0.21242
pdbbind_4eu3,0.34642
pdbbind_2w97,0.25156
pdbbind_1p0y,0.24163
pdbbind_2b1r,0.29964
pdbbind_2d2v,0.29767
pdbbind_1aw1,0.28988
pdbbind_1maw,0.29014
pdbbind_3fl9,0.22126
pdbbind_5eb2,0.21229
pdbbind_4lh2,0.31824
pdbbind_4to8,0.27272
pdbbind_4fci,0.28074
pdbbind_4fck,0.28275
pdbbind_4clp,0.34405
pdbbind_1f9g,0.34005
pdbbind_1a0t,0.30260
pdbbind_1b74,0.27725
pdbbind_2fah,0.36093
pdbbind_5oxm,0.31343
pdbbind_2igw,0.21512
pdbbind_5mnc,0.26707
pdbbind_5mny,0.26721
pdbbind_5moo,0.26949
pdbbind_2vl1,0.32218
pdbbind_3nm6,0.24843
pdbbind_1qpb,0.36954
pdbbind_6k2n,0.24065
pdbbind_1hty,0.35143
pdbbind_1o4l,0.20032
pdbbind_1o4m,0.20262
pdbbind_1o4n,0.20063
pdbbind_2hdq,0.30559
pdbbind_3eor,0.23210
pdbbind_3e81,0.21381
pdbbind_1ozv,0.28539
pdbbind_1utp,0.26640
pdbbind_5eb3,0.21181
pdbbind_1tnk,0.26733
pdbbind_4bh4,0.24793
pdbbind_5vqe,0.28476
pdbbind_4lh3,0.30645
pdbbind_5ct1,0.23172
pdbbind_5ele,0.19351
pdbbind_3mwe,0.30033
pdbbind_4amw,0.44292
pdbbind_1iig,0.27997
pdbbind_3rup,0.37147
pdbbind_5cs5,0.22979
pdbbind_5ofv,0.22143
pdbbind_2b1q,0.29994
pdbbind_1w8m,0.21693
pdbbind_3itc,0.27240
pdbbind_2it4,0.24986
pdbbind_5k5c,0.33952
pdbbind_1a7t,0.25682
pdbbind_4d63,0.20535
pdbbind_1hgj,0.24655
pdbbind_1rdj,0.17328
pdbbind_2o9r,0.33116
pdbbind_4qsw,0.19120
pdbbind_2sfp,0.24759
pdbbind_3gf2,0.20253
pdbbind_3oay,0.22293
pdbbind_4tyb,0.31025
pdbbind_6cex,0.22807
pdbbind_6cf5,0.24743
pdbbind_3g6m,0.27730
pdbbind_2hdr,0.31512
pdbbind_3ern,0.23257
pdbbind_3vzg,0.21163
pdbbind_3zst,0.32725
pdbbind_5y61,0.20881
pdbbind_1u2y,0.32236
pdbbind_4qsx,0.18847
pdbbind_5y62,0.21288
pdbbind_5ggj,0.25754
pdbbind_5zef,0.25815
pdbbind_4bgx,0.24690
pdbbind_3f39,0.25618
pdbbind_5ggl,0.23941
pdbbind_2zgm,0.20539
pdbbind_1ga8,0.29454
pdbbind_3rxh,0.26663
pdbbind_1af6,0.29433
pdbbind_1bra,0.27084
pdbbind_1d5r,0.30634
pdbbind_1y1m,0.27112
pdbbind_3eqb,0.78260
pdbbind_4ahv,0.20712
pdbbind_1rdn,0.17215
pdbbind_1fd7,0.19239
pdbbind_3khv,0.25908
pdbbind_1mwt,0.30323
pdbbind_1tnl,0.26725
pdbbind_2ay2,0.29644
pdbbind_4x8s,0.26358
pdbbind_1f2p,0.28058
pdbbind_4mrh,0.19124
pdbbind_1f2o,0.28278
pdbbind_1efi,0.19390
pdbbind_3ehn,0.34039
pdbbind_4bh3,0.24434
pdbbind_2rjr,0.28452
pdbbind_5nn4,0.41193
pdbbind_4mrf,0.19376
pdbbind_1tnj,0.26744
pdbbind_2gga,0.31431
pdbbind_5oxn,0.31018
pdbbind_1wdq,0.32538
pdbbind_6h7u,0.35852
pdbbind_6hzp,0.35933
pdbbind_3i3d,0.35273
pdbbind_1gbt,0.26671
pdbbind_1ing,0.30249
pdbbind_2bmv,0.23963
pdbbind_2hds,0.31706
pdbbind_2r58,0.23030
pdbbind_3c2f,0.25323
pdbbind_3g2y,0.32925
pdbbind_3pce,0.24605
pdbbind_3rv3,0.37184
pdbbind_4awj,0.17266
pdbbind_4ctk,0.28946
pdbbind_4kz5,0.29341
pdbbind_4qsu,0.19019
pdbbind_4qsv,0.22079
pdbbind_4u58,0.29644
pdbbind_4y4g,0.31348
pdbbind_6evq,0.14920
pdbbind_6ra1,0.21427
pdbbind_4ty8,0.31386
pdbbind_5ekx,0.28978
pdbbind_5nzq,0.24219
pdbbind_2ks9,0.28684
pdbbind_1jfh,0.32579
pdbbind_4e4a,0.25926
pdbbind_4ty9,0.31446
pdbbind_4x8t,0.26039
pdbbind_5eiw,0.29013
pdbbind_1qq9,0.28545
pdbbind_1rdi,0.17214
pdbbind_2zg3,0.22571
pdbbind_4u54,0.29622
pdbbind_3ao4,0.18893
pdbbind_4b0c,0.22074
pdbbind_3rxp,0.26642
pdbbind_5tyh,0.24154
pdbbind_1njj,0.23979
pdbbind_2zg1,0.23950
pdbbind_4aml,0.22436
pdbbind_4cs9,0.25725
pdbbind_6r49,0.81948
pdbbind_3uf9,0.27277
pdbbind_6aao,0.25428
pdbbind_1qx1,0.30115
pdbbind_2w8w,0.31495
pdbbind_3gv9,0.30474
pdbbind_6r9u,0.21544
pdbbind_1p2g,0.39013
pdbbind_6gz9,0.35419
pdbbind_6abx,0.31217
pdbbind_6dim,0.33414
pdbbind_6djd,0.33715
pdbbind_1uxb,0.21576
pdbbind_3rxg,0.26697
pdbbind_4b0j,0.22822
pdbbind_4q90,0.25853
pdbbind_5cs3,0.23406
pdbbind_6fap,0.11316
pdbbind_6fi1,0.13434
pdbbind_6r9s,0.23108
pdbbind_2ay9,0.27786
